web-scraper-order,web-scraper-start-url,url_title,url_title-href,topic,date,author
"1717529562-33","https://www.tichyseinblick.de/page/4/?s=cannabis","Urteil zum Islamisten-Terror in Südfrankreich – TE-Wecker am 23. Februar 2024","https://www.tichyseinblick.de/podcast/te-wecker-am-23-februar-2024/","DER PODCAST AM MORGEN","23. Februar 2024","Gastautor"
"1717529562-34","https://www.tichyseinblick.de/page/4/?s=cannabis","Faeser vor Fragen nach V-Leuten in der AfD und „virtuellen Agenten“ in Social Media","https://www.tichyseinblick.de/daili-es-sentials/wirtschaftswende-energiewende-lindner-habeck-scholz/","Wirtschaftswende statt Energiewende","21. Februar 2024","Redaktion"
"1717529562-35","https://www.tichyseinblick.de/page/4/?s=cannabis","Kiffen: Weiter verbieten oder legalisieren?","https://www.tichyseinblick.de/video/streit-bar/kiffen-erlaubt-cannabis-legalisierung/","Streit-Bar mit Roland Tichy und Diether Dehm","20. Februar 2024","Redaktion"
"1717529562-36","https://www.tichyseinblick.de/page/4/?s=cannabis","Bei Maischberger: Kommt das Krankenhaussterben?","https://www.tichyseinblick.de/feuilleton/medien/maischberger-krankenhaussterben-lauterbach/","Chemotherapie für 90-Jährige?","15. Februar 2024","Gastautor"
"1717529562-37","https://www.tichyseinblick.de/page/4/?s=cannabis","Die FDP muss die Ampel verlassen – am besten gestern","https://www.tichyseinblick.de/meinungen/fdp-muss-ampel-verlassen-lindner/","Liberale kämpfen um ein Comeback","12. Februar 2024","Mario Thurnes"
"1717529562-38","https://www.tichyseinblick.de/page/4/?s=cannabis","Bloomberg: Deutschland ist keine Industriemacht mehr","https://www.tichyseinblick.de/wirtschaft/bloomberg-deutschland-ist-keine-industriemacht-mehr/","Deutschland abgehängt","11. Februar 2024","Josef Kraus"
"1717529562-39","https://www.tichyseinblick.de/page/4/?s=cannabis","Buschmann will das Strafmaß bei sexuellem Kindesmissbrauch wieder senken","https://www.tichyseinblick.de/meinungen/kindesmissbrauch-pornographie-buschmann-strafrecht-liberalisieren/","während Fälle von Kinderpornographie zunehmen","17. Januar 2024","Josef Kraus"
"1717529562-40","https://www.tichyseinblick.de/page/4/?s=cannabis","CSU legt Programm für die Übernahme der Bundesregierung vor: mit „bürgerlichen Wohlstands-Projekten“","https://www.tichyseinblick.de/meinungen/csu-regierungsprogramm-buergerliche-wohlstands-projekte/","Was immer das ist","6. Januar 2024","Josef Kraus"
"1717529562-41","https://www.tichyseinblick.de/page/4/?s=cannabis","Was ist Ihr Motto-Lied für 2024? Wir hätten da was anzubieten","https://www.tichyseinblick.de/tichys-einblick/motto-lied-fuer-2024/","Im Trinklied liegt die Wahrheit","31. Dezember 2023","Roland Tichy"
"1717529562-42","https://www.tichyseinblick.de/page/4/?s=cannabis","Die sieben Grundübel der Bundesregierung","https://www.tichyseinblick.de/meinungen/rueckblick-2023-die-sieben-grunduebel-der-bundesregierung/","Das politische Jahr 2023","30. Dezember 2023","Mario Thurnes"
"1717529562-43","https://www.tichyseinblick.de/page/4/?s=cannabis","24 Monate Ampel-Deutschland …","https://www.tichyseinblick.de/meinungen/24-monate-ampel-deutschland/","Zwei Jahre Niedergang im Turboschritt","9. Dezember 2023","Josef Kraus"
"1717529562-44","https://www.tichyseinblick.de/page/4/?s=cannabis","Blackbox KW 48 – Winter is coming","https://www.tichyseinblick.de/kolumnen/blackbox/kw-48-winter-is-coming/","Blick zurück - nach vorn","3. Dezember 2023","Stephan Paetow"
"1717529562-45","https://www.tichyseinblick.de/page/4/?s=cannabis","Mehrheit hat die Nase voll von der „Ampel“","https://www.tichyseinblick.de/meinungen/umfrage-infratest-mehrheit-gegen-ampel/","Der Michel gar nicht mehr schafsgeduldig?","10. November 2023","Josef Kraus"
"1717529568-46","https://www.tichyseinblick.de/page/3/?s=cannabis","Blackbox KW 13 – Alles erstunken und erlogen von …","https://www.tichyseinblick.de/kolumnen/blackbox/kw-13-rki-files/","Blick zurück – nach vorn","31. März 2024","Stephan Paetow"
"1717529568-47","https://www.tichyseinblick.de/page/3/?s=cannabis","Prominente CDU-Politikerin Sylvia Pantel tritt aus der CDU aus","https://www.tichyseinblick.de/daili-es-sentials/sylvia-pantel-austritt-cdu/","Kritik am Umgang mit Maaßen","29. März 2024","Roland Tichy"
"1717529568-48","https://www.tichyseinblick.de/page/3/?s=cannabis","Blackbox KW 12: Was haben die geraucht?","https://www.tichyseinblick.de/kolumnen/blackbox/kw-12-was-haben-die-geraucht/","Blick zurück - nach vorn","24. März 2024","Stephan Paetow"
"1717529568-49","https://www.tichyseinblick.de/page/3/?s=cannabis","Friedrich Merz hat gekifft – das erklärt vieles","https://www.tichyseinblick.de/feuilleton/glosse/friedrich-merz-hat-gekifft-das-erklaert-vieles/","Achtung, Glosse!","22. März 2024","Mario Thurnes"
"1717529568-50","https://www.tichyseinblick.de/page/3/?s=cannabis","Ampel gibt Kiffen frei – mit Flankenschutz der CDU","https://www.tichyseinblick.de/daili-es-sentials/bundesrat-ampel-cannabis/","Abstimmung im Bundesrat","22. März 2024","Mario Thurnes"
"1717529568-51","https://www.tichyseinblick.de/page/3/?s=cannabis","Korruption in EU: Von den dunklen Zirkeln der Macht, die Eva Kaili blass aussehen lassen","https://www.tichyseinblick.de/kolumnen/aus-aller-welt/eu-korruption-arte/","Qatargate revisited","21. März 2024","Matthias Nikolaidis"
"1717529568-52","https://www.tichyseinblick.de/page/3/?s=cannabis","Ampel nutzt Russland als Vorwand zum Kampf gegen freie Meinung im Netz","https://www.tichyseinblick.de/meinungen/ampel-russland-dsa/","Digital Services Act","21. März 2024","Mario Thurnes"
"1717529568-53","https://www.tichyseinblick.de/page/3/?s=cannabis","Hart aber Fair: Lauterbach spricht über Fake News. Keine Pointe.","https://www.tichyseinblick.de/feuilleton/medien/klamroth-hart-aber-fair-lauterbach-fake-news-sascha-lobo/","„Wie gefährlich sind soziale Medien?“","19. März 2024","Gastautor"
"1717529568-54","https://www.tichyseinblick.de/page/3/?s=cannabis","CDU läutet „Rechte Wochen“ vor wichtiger Wahl ein","https://www.tichyseinblick.de/meinungen/cdu-europawahl-buergergeld-cannabis/","Bürgergeld und Cannabis-Legalisierung","18. März 2024","Mario Thurnes"
"1717529568-55","https://www.tichyseinblick.de/page/3/?s=cannabis","Blackbox KW 11 – „Aufklärungsgespräch mit präventivem Charakter“","https://www.tichyseinblick.de/kolumnen/blackbox/aufklaerungsgespraech/","BLICK ZURÜCK – NACH VORN","17. März 2024","Stephan Paetow"
"1717529568-56","https://www.tichyseinblick.de/page/3/?s=cannabis","Terror – Wie uns Linksextremisten und Islamisten bedrohen","https://www.tichyseinblick.de/video/streit-bar/linksextremer-terror/","Streit-Bar mit Roland Tichy und Diether Dehm","12. März 2024","Redaktion"
"1717529568-57","https://www.tichyseinblick.de/page/3/?s=cannabis","Verunreinigung der COVID-19-modRNA-Impfstoffe mit Plasmid-DNA","https://www.tichyseinblick.de/gastbeitrag/verunreinigung-der-covid-19-modrna-impfstoffe-mit-plasmid-dna/","Corona","8. März 2024","Gastautor"
"1717529568-58","https://www.tichyseinblick.de/page/3/?s=cannabis","Demokratie auf dem Scheiterhaufen","https://www.tichyseinblick.de/video/streit-bar/demokratie-scheiterhaufen/","Streit-Bar mit Roland Tichy und Diether Dehm","5. März 2024","Redaktion"
"1717529568-59","https://www.tichyseinblick.de/page/3/?s=cannabis","Wie die Ampel unseren Wohlstand zerstört – Die Streit-Bar","https://www.tichyseinblick.de/video/streit-bar/ampel-zerstoerung-wohlstand/","Börse boomt, Wirtschaft stürzt ab","27. Februar 2024","Redaktion"
"1717529568-60","https://www.tichyseinblick.de/page/3/?s=cannabis","Bundesbank mit Rekordverlust, Börsen ignorieren wirtschaftliche Realitäten","https://www.tichyseinblick.de/wirtschaft/geldanlage/bundesbank-boersen-realitaeten/","Der Marktausblick","26. Februar 2024","Redaktion"
"1717529574-61","https://www.tichyseinblick.de/page/2/?s=cannabis","Der Verfall deutscher Kultur und die Flucht in Parallelgesellschaften","https://www.tichyseinblick.de/meinungen/der-verfall-deutscher-kultur-und-die-flucht-in-parallelgesellschaften/","Verhinderte Integration","11. Mai 2024","Klaus-Jürgen Gadamer"
"1717529574-62","https://www.tichyseinblick.de/page/2/?s=cannabis","Wie eine dysfunktionale Gesundheitspolitik die Versorgung ruiniert","https://www.tichyseinblick.de/meinungen/dysfunktionale-gesundheitspolitik-ruiniert-versorgung-lauterbach/","Versagen mit Ansage","6. Mai 2024","Gastautor"
"1717529574-63","https://www.tichyseinblick.de/page/2/?s=cannabis","Demokratie ist für alle da, oder für keinen","https://www.tichyseinblick.de/tichys-einblick/demokratie-ist-fuer-alle-da-oder-fuer-keinen/","Wer anderen eine Grube gräbt ...","28. April 2024","Roland Tichy"
"1717529574-64","https://www.tichyseinblick.de/page/2/?s=cannabis","Ein bizarrer Themenpark für Erwachsene","https://www.tichyseinblick.de/meinungen/democamps-regierungsviertel/","Democamps im Regierungsviertel","21. April 2024","Maximilian Tichy"
"1717529574-65","https://www.tichyseinblick.de/page/2/?s=cannabis","Blackbox KW 16 – Präsidenzlose Vorfälle","https://www.tichyseinblick.de/kolumnen/blackbox/kw-16-praesidenzlose-vorfaelle/","Blick zurück - nach vorn","21. April 2024","Stephan Paetow"
"1717529574-66","https://www.tichyseinblick.de/page/2/?s=cannabis","Tschüss, Realität – die Regierung will nicht mehr","https://www.tichyseinblick.de/meinungen/politik-realitaet-regierung-ampel/","Politische Fußnoten","14. April 2024","Alexander Wendt"
"1717529574-67","https://www.tichyseinblick.de/page/2/?s=cannabis","Das Selbstbestimmungsgesetz wurde gegen jede Vernunft beschlossen","https://www.tichyseinblick.de/gastbeitrag/selbstbestimmungsgesetz-beschlossen/","Weiterer Ampel-Irrweg","13. April 2024","Gastautor"
"1717529574-68","https://www.tichyseinblick.de/page/2/?s=cannabis","Die woke Revolution frisst ihre Kindfrauen","https://www.tichyseinblick.de/meinungen/wokeness-revolution-frauen/","Das Leben der Lena-Sophies","10. April 2024","Alexander Wendt"
"1717529574-69","https://www.tichyseinblick.de/page/2/?s=cannabis","Faesers Flucht nach vorn: Mehr Migration führt zu mehr Straftaten","https://www.tichyseinblick.de/daili-es-sentials/faeser-migration-straftaten-pressekonferenz-polizeiliche-kriminalstatistik-2023/","Pressekonferenz zur Kriminalitätsstatistik","9. April 2024","Matthias Nikolaidis"
"1717529574-70","https://www.tichyseinblick.de/page/2/?s=cannabis","Der unmündige Bürger und das Würstchen auf dem Grill","https://www.tichyseinblick.de/tichys-einblick/der-unmuendige-buerger/","Obrigkeitsstaat","7. April 2024","Roland Tichy"
"1717529574-71","https://www.tichyseinblick.de/page/2/?s=cannabis","Trotz Ruanda-Plan: Sollen ältere Briten Asylbewerbern Platz machen?","https://www.tichyseinblick.de/kolumnen/aus-aller-welt/grossbritannien-asylbewerber-hamburg-eigentum/","Internationaler Trend: Verluste sozialisieren","5. April 2024","Matthias Nikolaidis"
"1717529574-72","https://www.tichyseinblick.de/page/2/?s=cannabis","Die Phantome des Verfassungsschutzchefs","https://www.tichyseinblick.de/meinungen/haldenwang-grundgesetz/","Thomas Haldenwang","4. April 2024","Klaus-Rüdiger Mai"
"1717529574-73","https://www.tichyseinblick.de/page/2/?s=cannabis","Habeck: Kraftwerke können weg – TE-Wecker am 2. April 2024","https://www.tichyseinblick.de/podcast/te-wecker-am-2-april-2024/","DER PODCAST AM MORGEN","2. April 2024","Holger Douglas"
"1717529574-74","https://www.tichyseinblick.de/page/2/?s=cannabis","Was Ostern 2021 verboten war – wie Deutschland zu Niemandsland wird","https://www.tichyseinblick.de/daili-es-sentials/deutschland-corona-pass-migration-schweden-tusk-scholz/","Zum Fürchten lächerlich","1. April 2024","Redaktion"
"1717529574-75","https://www.tichyseinblick.de/page/2/?s=cannabis","Lächerlich oder zum Fürchten? Politik in Deutschland","https://www.tichyseinblick.de/tichys-einblick/politik-in-deutschland/","Osterspaziergang","31. März 2024","Roland Tichy"
"1717529581-76","https://www.tichyseinblick.de/?s=cannabis","Die Cannabis-Legalisierung bringt die Justiz an die Grenze","https://www.tichyseinblick.de/daili-es-sentials/cannabis-legalisierung-justiz-buerokratie/","Bürokratiemonster","27. April 2024","Redaktion"
"1717529581-77","https://www.tichyseinblick.de/?s=cannabis","Cannabis: Die unterschätzte Droge","https://www.tichyseinblick.de/meinungen/cannabis-die-unterschaetzte-droge/","Legalisierung","23. Februar 2024","David Boos"
"1717529581-78","https://www.tichyseinblick.de/?s=cannabis","Zur Freigabe von Cannabis legt Lauterbach ein bizarres Murksgesetz vor","https://www.tichyseinblick.de/meinungen/freigabe-legalisierung-cannabis-lauterbach-buerokratie/","Bubatz nur so halb legal","29. Oktober 2023","Mario Thurnes"
"1717529581-79","https://www.tichyseinblick.de/?s=cannabis","Bundesländer wollen bei der Freigabe von Cannabis mitreden","https://www.tichyseinblick.de/meinungen/bundeslaender-wollen-bei-der-freigabe-von-cannabis-mitreden/","89 Seiten Bedenken","24. September 2023","Josef Kraus"
"1717529581-80","https://www.tichyseinblick.de/?s=cannabis","Winfried Kretschmann ist ein härterer Cannabis-Bekämpfer als Markus Söder","https://www.tichyseinblick.de/daili-es-sentials/cannabis-kretschmann/","Verhaftungen wegen Cannabis","3. Mai 2023","Mario Thurnes"
"1717529581-81","https://www.tichyseinblick.de/?s=cannabis","Cannabis statt Kinder – Lauterbach fördert Cannabis-Rausch und lässt Kinder ohne Medikamente leiden","https://www.tichyseinblick.de/gastbeitrag/cannabis-freigabe-lauterbach-kinder-medikamente/","Rauschmittel-Jünger hop, Rheuma-Kinder flop","1. Mai 2023","Gastautor"
"1717529581-82","https://www.tichyseinblick.de/?s=cannabis","Cannabis-Legalisierung: Das Kabinett der Kiffer","https://www.tichyseinblick.de/meinungen/cannabis-legalisierung-eckwerte/","""Ampel""-Prestigeobjekt","13. April 2023","Josef Kraus"
"1717529581-83","https://www.tichyseinblick.de/?s=cannabis","Der Dilettantismus regiert auch bei der Cannabis-Legalisierung","https://www.tichyseinblick.de/daili-es-sentials/cannabis-legalisierung-eu-recht/","Regierungsplan verstößt gegen EU-Recht","12. September 2022","Redaktion"
"1717529581-84","https://www.tichyseinblick.de/?s=cannabis","UN warnt vor Cannabis-Konsum","https://www.tichyseinblick.de/daili-es-sentials/un-warnt-vor-cannabis-konsum/","Vor Gesetzesentwurf zur Legalisierung","27. Juni 2022","Redaktion"
"1717529581-85","https://www.tichyseinblick.de/?s=cannabis","Mord an an einer Pariser Jüdin bleibt ungesühnt – weil der Täter aus Mali Cannabis konsumiert hatte","https://www.tichyseinblick.de/daili-es-sentials/frankreich-mord-sarah-halimi-urteil/","Oberster Gerichtshof bestätigt Urteil","18. April 2021","Michal Kornblum"
"1717529581-86","https://www.tichyseinblick.de/?s=cannabis","Cannabis-Legalisierung: verantwortungslose Veteranen-Veranstaltung","https://www.tichyseinblick.de/kolumnen/alexander-wallasch-heute/cannabis-legalisierung-verantwortungslose-veteranen-veranstaltung/","Worum geht es wirklich?","28. April 2018","Alexander Wallasch"
"1717529581-87","https://www.tichyseinblick.de/?s=cannabis","Der grüne Parteitag des Realitätsverlustes","https://www.tichyseinblick.de/meinungen/parteitag-gruene-habeck-realitaetsverlust/","Auch Propaganda-Lügen haben kurze Beine","2. Juni 2024","Klaus-Rüdiger Mai"
"1717529581-88","https://www.tichyseinblick.de/?s=cannabis","Deutschland allein zu Haus","https://www.tichyseinblick.de/kolumnen/lichtblicke-kolumnen/deutschland-energiewende-test/","Experiment Energiewende","31. Mai 2024","Frank Hennig"
"1717529581-89","https://www.tichyseinblick.de/?s=cannabis","Habeck für Grünschwarz – WHO-Diktat droht","https://www.tichyseinblick.de/daili-es-sentials/habeck-who-diktat/","Trauriger 75. Grundgesetz-Geburtstag","24. Mai 2024","Redaktion"
"1717529581-90","https://www.tichyseinblick.de/?s=cannabis","Karl Lauterbach bei Markus Lanz: Krebs und Krankenhaussterben","https://www.tichyseinblick.de/feuilleton/medien/lanz-krebs-und-krankenhaussterben/","Eine spannende Sendung","16. Mai 2024","Maximilian Tichy"
