web-scraper-order,web-scraper-start-url,link,link-href
"1717581716-31","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Bauernprotest: Bauernverband bittet um Nachsicht wegen Behinderungen","https://www.zeit.de/wirtschaft/2024-01/joachim-rukwied-bauern-protest-landwirte-demonstration-behinderungen"
"1717581716-32","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Bauernproteste: Jährlicher Durchschnittsgewinn: 115.000 Euro","https://www.zeit.de/wirtschaft/2024-01/bauernproteste-landwirtschaft-gewinne-inflation"
"1717581716-33","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Protestwoche der Landwirte: Aiwanger sieht Bauernproteste ""von linker Seite"" verunglimpft","https://www.zeit.de/politik/deutschland/2024-01/hubert-aiwanger-bauernproteste-verunglimpfung-links"
"1717581716-34","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Landwirt: ""Wir machen jährlich einen Umsatz von 1,3 Millionen Euro""","https://www.zeit.de/arbeit/2024-01/landwirt-milchviehzuechter-bauernproteste-kontoauszug"
"1717581716-35","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Bauernproteste: Bauernverband erklärt radikale Gruppen für unerwünscht","https://www.zeit.de/politik/ausland/2024-01/bauernproteste-bauernverband-radikale-gruppen-unerwuenscht"
"1717581716-36","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Extremisten bei Bauernprotesten: BKA beobachtet laut Medien rechte Unterwanderung der Bauernproteste","https://www.zeit.de/politik/deutschland/2024-01/rechte-bauernproteste-landwirte-streik-afd"
"1717581716-37","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Bauernproteste: FDP-Chef Lindner ruft Bauern zur ""Umkehr"" auf","https://www.zeit.de/politik/2024-01/bauern-proteste-lindner-habeck-fdp"
"1717581716-38","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Proteste der Landwirte: Die Angst vor der Bauerndämmerung","https://www.zeit.de/politik/deutschland/2024-01/proteste-landwirte-bauern-generalstreik-ampelkoalition"
"1717581716-39","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Bauernproteste gegen Robert Habeck: ""Niemals einen Raum durch die Hintertür verlassen""","https://www.zeit.de/politik/deutschland/2024-01/robert-habeck-proteste-bauern-blockade-faehre"
"1717581716-40","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=28","Protest der Landwirte: Steinmeier zeigt sich ""schockiert"" über Protest gegen Robert Habeck","https://www.zeit.de/gesellschaft/zeitgeschehen/2024-01/frank-walter-steinmeier-bundespraesident-robert-habeck-bauern"
"1717581719-41","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Unterwanderung der Bauernproteste: Die Kaperfahrt","https://www.zeit.de/politik/deutschland/2024-01/proteste-landwirte-unterwanderung-rechtsextremismus-aktionswoche"
