"searchQuery/countryCode","searchQuery/device","searchQuery/domain","searchQuery/languageCode","searchQuery/locationUule","searchQuery/page","searchQuery/resultsPerPage","searchQuery/term","searchQuery/type","searchQuery/url","resultsTotal","date","description","displayedUrl","emphasizedKeywords/0","emphasizedKeywords/1","emphasizedKeywords/2","emphasizedKeywords/3","emphasizedKeywords/4","position","title","type","url","emphasizedKeywords/5","emphasizedKeywords/6"
"DE","DESKTOP","google.de",,,"1","5","Schützt Atomkraft wirklich das Klima? site:faz.net","SEARCH","http://www.google.de/search?q=Sch%C3%BCtzt+Atomkraft+wirklich+das+Klima%3F+site%3Afaz.net&num=5","917","2023-03-12T12:00:00.000Z","Atomkraft sei teuer, gefährlich und komme im Kampf gegen die Klimakrise zu spät. Teilnehmer der Verhandlungen in Dubai wiesen darauf hin ...","https://www.faz.net › FAZ.NET › Politik","Atomkraft","Klimakrise",,,,"3","Olaf Scholz auf COP28: Mit Kernkraft gegen den ... - FAZ","organic","https://www.faz.net/aktuell/politik/olaf-scholz-auf-cop28-mit-kernkraft-gegen-den-klimawandel-19358110.html",,
"DE","DESKTOP","google.de",,,"1","5","Schützt Atomkraft wirklich das Klima? site:faz.net","SEARCH","http://www.google.de/search?q=Sch%C3%BCtzt+Atomkraft+wirklich+das+Klima%3F+site%3Afaz.net&num=5","917","2022-07-24T12:00:00.000Z","Schützt Atomkraft wirklich das Klima? Einigung mit Energiekonzern. Belgien lässt zwei AKW zehn Jahre länger am Netz. Der FDP-Vorsitzende ...","https://www.faz.net › FAZ.NET › Politik › Inland","Schützt Atomkraft wirklich das Klima",,,,,"4","Atomkraft: Widerstand gegen Laufzeitverlängerung bei ...","organic","https://www.faz.net/aktuell/politik/inland/atomkraft-widerstand-gegen-laufzeitverlaengerung-bei-spd-und-gruenen-18195731.html",,
"DE","DESKTOP","google.de",,,"1","5","Belgien lässt zwei AKW zehn Jahre länger am Netz site:faz.net","SEARCH","http://www.google.de/search?q=Belgien+l%C3%A4sst+zwei+AKW+zehn+Jahre+l%C3%A4nger+am+Netz+site%3Afaz.net&num=5","140","2022-07-22T12:00:00.000Z","Einigung mit Energiekonzern : Belgien lässt zwei AKW zehn Jahre länger am Netz. Von Thomas Gutschker, Brüssel.","https://www.faz.net › FAZ.NET › Politik › Ausland","Belgien lässt zwei AKW zehn Jahre länger am Netz",,,,,"1","Belgien: Zwei Atomkraftwerke bleiben länger am Netz","organic","https://www.faz.net/aktuell/politik/ausland/belgien-zwei-atomkraftwerke-bleiben-laenger-am-netz-18192146.html",,
"DE","DESKTOP","google.de",,,"1","5","Belgien lässt zwei AKW zehn Jahre länger am Netz site:faz.net","SEARCH","http://www.google.de/search?q=Belgien+l%C3%A4sst+zwei+AKW+zehn+Jahre+l%C3%A4nger+am+Netz+site%3Afaz.net&num=5","140","2023-10-01T12:00:00.000Z","zwei Atomkraftwerke im Land zu modernisieren und zehn Jahre länger laufen zu lassen. Beide Seiten trafen eine Rahmenübereinkunft, die den ...","https://www.faz.net › FAZ.NET › Politik › Ausland","zwei","zehn Jahre länger","lassen",,,"2","Belgien verlängert Laufzeit von zwei Atomreaktoren","organic","https://www.faz.net/aktuell/politik/ausland/belgien-verlaengert-laufzeit-von-zwei-atomreaktoren-18591871.html",,
"DE","DESKTOP","google.de",,,"1","5","Belgien lässt zwei AKW zehn Jahre länger am Netz site:faz.net","SEARCH","http://www.google.de/search?q=Belgien+l%C3%A4sst+zwei+AKW+zehn+Jahre+l%C3%A4nger+am+Netz+site%3Afaz.net&num=5","140",,"Belgien lässt zwei AKW zehn Jahre länger am Netz. Einigung mit Energiekonzern: Belgien lässt zwei AKW zehn Jahre länger am Netz. Die Regierung hat sich mit ...","https://www.faz.net › aktuell › politik › thema › kernkr...","Belgien lässt zwei AKW zehn Jahre länger am Netz","Belgien lässt zwei AKW zehn Jahre länger am Netz",,,,"3","Tihange: Nachrichten der FAZ zum belgischen Kraftwerk","organic","https://www.faz.net/aktuell/politik/thema/kernkraftwerk-tihange",,
"DE","DESKTOP","google.de",,,"1","5","Belgien lässt zwei AKW zehn Jahre länger am Netz site:faz.net","SEARCH","http://www.google.de/search?q=Belgien+l%C3%A4sst+zwei+AKW+zehn+Jahre+l%C3%A4nger+am+Netz+site%3Afaz.net&num=5","140","2022-03-20T12:00:00.000Z","Die Laufzeit von zwei der sieben Atomreaktoren wird um zehn Jahre verlängert. Die Reaktoren Doel 4 bei Antwerpen und Tihange 3 bei Lüttich – und ...","https://www.faz.net › FAZ.NET › Wirtschaft","zwei","zehn Jahre",,,,"4","Belgien verschiebt Atomausstieg um zehn Jahre auf 2035","organic","https://www.faz.net/aktuell/wirtschaft/belgien-verschiebt-atomausstieg-um-zehn-jahre-auf-2035-17892461.html",,
"DE","DESKTOP","google.de",,,"1","5","Der Atomkraft-Deal, den (fast) keiner wollte site:faz.net","SEARCH","http://www.google.de/search?q=Der+Atomkraft-Deal%2C+den+%28fast%29+keiner+wollte+site%3Afaz.net&num=5","387","2022-07-19T12:00:00.000Z","Damit gelte, so Jung, auch beim Öl: „Jede Einsparung hilft – und ein Tempolimit von 130 km/h hat unstreitig einen Einspareffekt.“ Hinzu ...","https://www.faz.net › FAZ.NET › Politik › Inland",,,,,,"1","Atomkraft gegen Tempolimit: Diesen Deal wollte fast keiner","organic","https://www.faz.net/aktuell/politik/inland/atomkraft-gegen-tempolimit-diesen-deal-wollte-fast-keiner-18183672.html",,
"DE","DESKTOP","google.de",,,"1","5","Der Atomkraft-Deal, den (fast) keiner wollte site:faz.net","SEARCH","http://www.google.de/search?q=Der+Atomkraft-Deal%2C+den+%28fast%29+keiner+wollte+site%3Afaz.net&num=5","387",,"Der Atomkraft-Deal, den (fast) keiner wollte. Tempolimit gegen längere AKW-Laufzeiten: Aus der CDU kam der Vorschlag, aber das Tempolimit schreckt viele ab. Die ...","https://www.faz.net › aktuell › politik › thema › jens-sp...","Der Atomkraft","Deal, den (fast","keiner wollte",,,"2","Jens Spahn aktuell: Der CDU-Spitzenpolitiker im Porträt","organic","https://www.faz.net/aktuell/politik/thema/jens-spahn-p4",,
"DE","DESKTOP","google.de",,,"1","5","Der Atomkraft-Deal, den (fast) keiner wollte site:faz.net","SEARCH","http://www.google.de/search?q=Der+Atomkraft-Deal%2C+den+%28fast%29+keiner+wollte+site%3Afaz.net&num=5","387",,"Der Atomkraft-Deal, den (fast) keiner wollte. Laufzeiten gegen Tempolimit?: Der Atomkraft-Deal, den (fast) keiner wollte. Tempolimit gegen längere AKW ...","https://www.faz.net › aktuell › thema › tempolimit-p2","Der Atomkraft","Deal, den (fast","keiner wollte","Der Atomkraft","Deal, den (fast","3","Alle Artikel und Videos zu: Tempolimit","organic","https://www.faz.net/aktuell/technik-motor/thema/tempolimit-p2","keiner wollte",
"DE","DESKTOP","google.de",,,"1","5","Der Atomkraft-Deal, den (fast) keiner wollte site:faz.net","SEARCH","http://www.google.de/search?q=Der+Atomkraft-Deal%2C+den+%28fast%29+keiner+wollte+site%3Afaz.net&num=5","387","2022-07-22T12:00:00.000Z","Laufzeiten gegen Tempolimit? Der Atomkraft-Deal, den (fast) keiner wollte. Der Vorsitzende der wallonischen Liberalen, der die Atomwende ...","https://www.faz.net › FAZ.NET › Politik › Ausland","Der Atomkraft","Deal, den (fast","keiner wollte",,,"4","Belgien: Zwei Atomkraftwerke bleiben länger am Netz","organic","https://www.faz.net/aktuell/politik/ausland/belgien-zwei-atomkraftwerke-bleiben-laenger-am-netz-18192146.html",,
