
"x"
"(agrardiesel OR landwirt OR bauernprotest) (from:BrinkmannB OR from:hujahn OR from:OsigusWiebke OR from:PhilippRaulfs OR from:SebastianZinke OR from:Daniela_Behrens OR from:MpStephanWeil OR from:conny_flix OR from:Saade_SPD OR from:timfluencer OR from:thore9512 OR from:WOsigus OR from:K_Rudolph_SPD OR from:AjahlArmin OR from:AndreasBeckerRE OR from:AKossiski OR from:ALueckMdL OR from:WatermannKrass) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:DietmarBell OR from:fortmeier2 OR from:koppherr OR from:mboerschel OR from:Michael_Huebner OR from:santosherrmann OR from:EWiRahe OR from:alexander_vogt OR from:ABialas OR from:sonjabongers OR from:carsten_loecker OR from:CDahmMdL OR from:Dennis_Maelzer OR from:svenwolf OR from:MuellerWitt_MdL OR from:frank_mueller OR from:GordanDudas OR from:IbrahimYetim) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:philipp_fuer_DU OR from:ingeblask OR from:JosefSPD OR from:KapteinatLisa OR from:NinaAndrieshen OR from:Schmeltzer_NRW OR from:schneider_rene OR from:sebwatermeier OR from:st_kaemmerling OR from:StefanZimkeit OR from:AnjaButschkau OR from:ThomasKutschaty OR from:baran_volkan OR from:Der_FrederiCo OR from:c_kampmann OR from:jochenott OR from:ThorstenKlute OR from:lenateschlade) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:KirschCarolin OR from:bfalszewski OR from:KahleHausmann OR from:AnnaKavena OR from:csiebelnrw OR from:christianobrok OR from:BlumenthalIna OR from:BuscheAndrea OR from:Ba_Hartmann OR from:RaStoDo OR from:SilviAausBoenen OR from:JustusMoor OR from:CM_Stamm OR from:bettinabrueck OR from:KazunguHass OR from:JohannesKlomann OR from:J_Denninghoff OR from:Marcruland) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:SvenLefkowitz OR from:wolfschwarz OR from:Alex_Schweitzer OR from:SPD_AndreasRahm OR from:AnkeSimonLU OR from:AstridSchmitt59 OR from:Beneoster OR from:Doris_Ahnen OR from:hjnoss OR from:hendrikhering OR from:JJRauschkolb OR from:JensGuth_SPD OR from:AnklamTrapp OR from:SteinMdL OR from:MartinHaller OR from:MichaelHuettner OR from:nico_steinbach OR from:NinaKlinkel) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:Sabine_Baetzing OR from:SvenTeuber OR from:clemenshoch OR from:smueller_1973 OR from:MichaelSimonSPD OR from:MKropfreiter OR from:Tamara__Mueller OR from:kurtz_hp OR from:Juergen_Renner OR from:reinerzimmerhsw OR from:AnkeRehlinger OR from:UlrichCommercon OR from:PetraBergSPD OR from:ChristineClivot OR from:RkaKlein OR from:MeiserStephanie OR from:PascalArweiler OR from:kiribraun) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:saschahaas OR from:AhrTimo OR from:pasiraghi OR from:AlbrechtPallas OR from:dirkpanter OR from:HenningHomann OR from:MartinDulig OR from:sabinefriedel OR from:AndreasSteppuhn OR from:BarthJuergen OR from:ruedigererben OR from:KatjaPaehle OR from:falkogrube OR from:JulianeKleemann OR from:richtair OR from:Thomasrother OR from:wolfgangbaasch OR from:VogelKai) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:StefanWeberSE OR from:TobiasVonPein OR from:BHerdejuergen OR from:AltJusoKai OR from:martinhabersaat OR from:ThomasHoelck OR from:SerpilMidyatli OR from:t_losse_mueller OR from:niclasduerbrook OR from:SophiaSchiebe OR from:CorneliaKlisch OR from:demoe OR from:dialehm OR from:marx2009 OR from:JanineMerz OR from:LutzLiebscher OR from:BayernSPD OR from:BayernSPD_Lndtg) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:SabineSmentek OR from:SawsanChebli OR from:cjgaebler OR from:Mac_Frank OR from:BoehningB OR from:SteffenKrach OR from:spdfraktionbln OR from:spdberlin OR from:FischerSeverin OR from:amtrasnea OR from:aziz_b OR from:_MichaelBiel_ OR from:BrittaErnst OR from:joergstb OR from:ManjaSchuele OR from:TobiasDuenow OR from:AndreasBovensc1 OR from:bogedan) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:bull_olaf OR from:JanStoess OR from:SPDLandBremen OR from:SPDFraktionHB OR from:ThomasOppermann OR from:sigmargabriel OR from:LischkaB OR from:BurkertMartin OR from:EvaHoegl OR from:UlrichKelber OR from:spdbt OR from:spdbt_netz OR from:spdde OR from:AmbLindnerIndia OR from:AdlerGunther OR from:JochenFlasbarth OR from:NancyFaeser OR from:PhilippiSpd) since:2023-12-01 until:2024-02-29"
